id,vendor_id,name,description,category,base_price,unit,quantity,image_url,tags,shelf_life_hours,listed_at,expires_at,price_floor_pct,status,claimed_by,claimed_at,created_at,updated_at
d0000001-0000-4000-a000-000000000001,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Chicken Shawarma Wrap,"Grilled chicken shawarma with garlic sauce, pickles, and fresh vegetables in a warm pita wrap.",cooked_meal,180.00,piece,5,/images/shawarma.jpg,"{chicken,wrap,middle-eastern}",4,2026-03-12T08:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T08:00:00Z,2026-03-12T08:00:00Z
d0000001-0000-4000-a000-000000000002,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Fresh Fruit Salad Cup,"Mixed seasonal fruits including mango, pineapple, watermelon, and berries.",fresh_produce,120.00,cup,8,/images/fruit-salad.jpg,"{fruit,healthy,vegan}",6,2026-03-12T07:00:00Z,2026-03-12T13:00:00Z,0.20,available,,,2026-03-12T07:00:00Z,2026-03-12T07:00:00Z
d0000001-0000-4000-a000-000000000003,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Beef Empanadas (3 pcs),"Crispy pastry filled with seasoned ground beef, onions, and spices.",cooked_meal,150.00,serving,6,/images/empanadas.jpg,"{beef,pastry,latin}",5,2026-03-12T07:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T07:30:00Z,2026-03-12T07:30:00Z
d0000001-0000-4000-a000-000000000004,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Paneer Tikka Skewers,"Marinated cottage cheese cubes grilled with bell peppers and onions.",cooked_meal,140.00,skewer,4,/images/paneer-tikka.jpg,"{paneer,vegetarian,indian}",4,2026-03-12T08:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T08:30:00Z,2026-03-12T08:30:00Z
d0000001-0000-4000-a000-000000000005,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Fresh Squeezed Orange Juice,"Freshly squeezed orange juice with no added sugar or preservatives.",fresh_produce,80.00,glass,10,/images/orange-juice.jpg,"{juice,fresh,vegan}",3,2026-03-12T09:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T09:00:00Z,2026-03-12T09:00:00Z
d0000001-0000-4000-a000-000000000006,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Pulled Pork Tacos (2 pcs),"Slow-cooked pulled pork with coleslaw, pickled onions, and chipotle sauce on corn tortillas.",cooked_meal,200.00,serving,3,/images/pork-tacos.jpg,"{pork,tacos,mexican}",4,2026-03-12T08:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T08:00:00Z,2026-03-12T08:00:00Z
d0000001-0000-4000-a000-000000000007,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Greek Yogurt Parfait,"Thick Greek yogurt layered with granola, honey, and mixed berries.",dairy,130.00,cup,7,/images/yogurt-parfait.jpg,"{yogurt,dairy,breakfast}",6,2026-03-12T06:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T06:30:00Z,2026-03-12T06:30:00Z
d0000001-0000-4000-a000-000000000008,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Vegetable Spring Rolls (4 pcs),"Crispy spring rolls stuffed with cabbage, carrots, and glass noodles with sweet chili dip.",cooked_meal,100.00,serving,9,/images/spring-rolls.jpg,"{vegetable,fried,asian}",3,2026-03-12T09:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T09:30:00Z,2026-03-12T09:30:00Z
d0000001-0000-4000-a000-000000000009,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Churros with Chocolate (6 pcs),"Freshly fried churros coated in cinnamon sugar, served with warm chocolate dipping sauce.",baked_goods,150.00,serving,5,/images/churros.jpg,"{dessert,fried,spanish}",5,2026-03-12T07:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T07:00:00Z,2026-03-12T07:00:00Z
d0000001-0000-4000-a000-000000000010,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Falafel Plate,"Crispy falafel balls served with hummus, tabbouleh, and warm pita bread.",cooked_meal,160.00,plate,4,/images/falafel.jpg,"{falafel,vegan,middle-eastern}",5,2026-03-12T07:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T07:30:00Z,2026-03-12T07:30:00Z
d0000001-0000-4000-a000-000000000011,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Fresh Mozzarella & Tomato Salad,"Sliced fresh mozzarella with vine tomatoes, basil, and balsamic drizzle.",dairy,140.00,plate,3,/images/caprese.jpg,"{cheese,salad,italian}",4,2026-03-12T08:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T08:00:00Z,2026-03-12T08:00:00Z
d0000001-0000-4000-a000-000000000012,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Banana Bread Slice,"Moist banana bread made with real bananas and walnuts, freshly baked.",baked_goods,70.00,slice,12,/images/banana-bread.jpg,"{bread,banana,baked}",8,2026-03-12T06:00:00Z,2026-03-12T14:00:00Z,0.20,available,,,2026-03-12T06:00:00Z,2026-03-12T06:00:00Z
d0000001-0000-4000-a000-000000000013,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Grilled Corn on the Cob,"Fire-grilled sweet corn rubbed with butter, chili powder, and lime.",fresh_produce,60.00,piece,8,/images/grilled-corn.jpg,"{corn,grilled,vegan}",3,2026-03-12T09:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T09:00:00Z,2026-03-12T09:00:00Z
d0000001-0000-4000-a000-000000000014,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Crepe with Nutella & Strawberries,"Thin French crepe filled with Nutella spread and fresh sliced strawberries.",baked_goods,150.00,piece,4,/images/crepe.jpg,"{crepe,dessert,french}",2,2026-03-12T10:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T10:00:00Z,2026-03-12T10:00:00Z
d0000001-0000-4000-a000-000000000015,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Lamb Kofta Kebab,"Spiced minced lamb kebab grilled over charcoal, served with tzatziki.",cooked_meal,220.00,skewer,3,/images/kofta.jpg,"{lamb,kebab,middle-eastern}",4,2026-03-12T08:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T08:00:00Z,2026-03-12T08:00:00Z
d0000001-0000-4000-a000-000000000016,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Fresh Coconut Water,"Young green coconut served fresh with a straw for drinking.",fresh_produce,60.00,coconut,6,/images/coconut-water.jpg,"{coconut,hydration,tropical}",6,2026-03-12T07:00:00Z,2026-03-12T13:00:00Z,0.20,available,,,2026-03-12T07:00:00Z,2026-03-12T07:00:00Z
d0000001-0000-4000-a000-000000000017,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Cheese Quesadilla,"Flour tortilla filled with melted cheddar and Oaxaca cheese, grilled crispy.",dairy,120.00,piece,5,/images/quesadilla.jpg,"{cheese,mexican,vegetarian}",3,2026-03-12T09:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T09:00:00Z,2026-03-12T09:00:00Z
d0000001-0000-4000-a000-000000000018,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Pad Thai Noodles,"Stir-fried rice noodles with shrimp, peanuts, bean sprouts, and tamarind sauce.",cooked_meal,180.00,box,4,/images/pad-thai.jpg,"{noodles,thai,shrimp}",3,2026-03-12T09:30:00Z,2026-03-12T12:30:00Z,0.20,available,,,2026-03-12T09:30:00Z,2026-03-12T09:30:00Z
d0000001-0000-4000-a000-000000000019,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Sourdough Bread Roll (2 pcs),"Artisan sourdough rolls with a crispy crust and soft, tangy interior.",baked_goods,90.00,pack,10,/images/sourdough.jpg,"{bread,sourdough,baked}",10,2026-03-12T05:00:00Z,2026-03-12T15:00:00Z,0.20,available,,,2026-03-12T05:00:00Z,2026-03-12T05:00:00Z
d0000001-0000-4000-a000-000000000020,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Mango Lassi,"Creamy yogurt-based mango drink blended with cardamom and a hint of saffron.",dairy,80.00,glass,6,/images/mango-lassi.jpg,"{mango,dairy,indian}",4,2026-03-12T08:00:00Z,2026-03-12T12:00:00Z,0.20,available,,,2026-03-12T08:00:00Z,2026-03-12T08:00:00Z
